bri,hue,sat,watt
1,1,1,1.05
1,2732,1,0.05
1,5463,1,0.1
1,8194,1,0.1
1,10925,1,0.05
1,13656,1,0.1
1,16387,1,0.1
1,19118,1,0.15
1,21849,1,0.1
1,24580,1,0.05
1,27311,1,0.05
1,30042,1,0.05
1,32773,1,0.05
1,35504,1,0.05
1,38235,1,0.1
1,40966,1,0.1
1,43697,1,0.1
1,46428,1,0.05
1,49159,1,0.1
1,51890,1,0.1
1,54621,1,0.05
1,57352,1,0.05
1,60083,1,0.05
1,62814,1,0.1
1,65535,1,0.05
1,1,33,0.05
1,2732,33,0.1
1,5463,33,0.1
1,8194,33,0.1
1,10925,33,0.15
1,13656,33,0.1
1,16387,33,0.15
1,19118,33,0.05
1,21849,33,0.1
1,24580,33,0.1
1,27311,33,0.05
1,30042,33,0.1
1,32773,33,0.1
1,35504,33,0.05
1,38235,33,0.05
1,40966,33,0.1
1,43697,33,0.1
1,49159,33,0.05
1,51890,33,0.1
1,54621,33,0.05
1,57352,33,0.05
1,60083,33,0.1
1,62814,33,0.15
1,65535,33,0.1
1,1,65,0.05
1,2732,65,0.15
1,5463,65,0.1
1,8194,65,0.1
1,10925,65,0.1
1,13656,65,0.05
1,16387,65,0.05
1,19118,65,0.1
1,24580,65,0.05
1,30042,65,0.1
1,32773,65,0.05
1,35504,65,0.05
1,38235,65,0.15
1,40966,65,0.1
1,43697,65,0.05
1,49159,65,0.1
1,51890,65,0.05
1,54621,65,0.05
1,57352,65,0.05
1,60083,65,0.1
1,62814,65,0.05
1,1,97,0.1
1,2732,97,0.05
1,5463,97,0.1
1,8194,97,0.05
1,10925,97,0.1
1,13656,97,0.05
1,16387,97,0.1
1,19118,97,0.05
1,21849,97,0.1
1,24580,97,0.1
1,27311,97,0.05
1,30042,97,0.05
1,32773,97,0.05
1,35504,97,0.1
1,38235,97,0.1
1,40966,97,0.05
1,43697,97,0.05
1,46428,97,0.1
1,49159,97,0.05
1,51890,97,0.05
1,54621,97,0.05
1,57352,97,0.1
1,60083,97,0.1
1,62814,97,0.1
1,65535,97,0.1
1,1,129,0.1
1,8194,129,0.1
1,10925,129,0.05
1,13656,129,0.05
1,16387,129,0.1
1,19118,129,0.1
1,21849,129,0.05
1,24580,129,0.05
1,27311,129,0.05
1,30042,129,0.1
1,35504,129,0.15
1,38235,129,0.1
1,40966,129,0.05
1,46428,129,0.1
1,49159,129,0.05
1,51890,129,0.05
1,54621,129,0.05
1,57352,129,0.1
1,62814,129,0.1
1,65535,129,0.1
1,1,161,0.05
1,2732,161,0.1
1,5463,161,0.05
1,8194,161,0.1
1,10925,161,0.05
1,13656,161,0.1
1,21849,161,0.1
1,24580,161,0.05
