bri,hue,sat,watt
1,1,1,1.0
1,2732,1,1.0
1,5463,1,1.0
1,8194,1,1.0
1,10925,1,1.0
1,13656,1,1.0
1,16387,1,1.0
1,19118,1,1.0
1,21849,1,1.0
1,24580,1,1.0
1,27311,1,1.0
1,30042,1,1.0
1,32773,1,1.0
1,35504,1,1.0
1,38235,1,1.0
1,40966,1,1.0
1,43697,1,1.0
1,46428,1,1.0
1,49159,1,1.0
1,51890,1,1.0
1,54621,1,1.0
1,57352,1,1.0
1,60083,1,1.0
1,62814,1,1.0
1,65535,1,1.0
1,1,33,1.0
1,2732,33,1.0
1,5463,33,1.0
1,8194,33,1.0
1,10925,33,1.0
1,13656,33,1.0
1,16387,33,1.0
1,19118,33,1.0
1,21849,33,1.0
1,24580,33,1.0
1,27311,33,1.0
1,30042,33,1.0
1,32773,33,1.0
1,35504,33,1.0
1,38235,33,1.0
1,40966,33,1.0
1,43697,33,1.0
1,46428,33,1.0
1,49159,33,1.0
1,51890,33,1.0
1,54621,33,1.0
1,57352,33,1.0
1,60083,33,1.0
1,62814,33,1.0
1,65535,33,1.0
1,1,65,1.0
1,2732,65,1.0
1,5463,65,1.0
1,8194,65,1.0
1,10925,65,1.0
1,13656,65,1.0
1,16387,65,1.0
1,19118,65,1.0
1,21849,65,1.0
1,24580,65,1.0
1,27311,65,1.0
1,30042,65,1.0
1,32773,65,1.0
1,35504,65,1.0
1,38235,65,1.0
1,40966,65,1.0
1,43697,65,1.0
1,46428,65,1.0
1,49159,65,1.0
1,51890,65,1.0
1,54621,65,1.0
1,57352,65,1.0
1,60083,65,1.0
1,62814,65,1.0
1,65535,65,1.0
1,1,97,1.0
1,2732,97,1.0
1,5463,97,1.0
1,8194,97,1.0
1,10925,97,1.0
1,13656,97,1.0
1,16387,97,1.0
1,19118,97,1.0
1,21849,97,0.88
1,24580,97,1.0
1,27311,97,1.0
1,30042,97,1.0
1,32773,97,1.0
1,35504,97,1.0
1,38235,97,1.0
1,40966,97,1.0
1,43697,97,1.0
1,46428,97,1.0
1,49159,97,1.0
1,51890,97,1.0
1,54621,97,1.0
1,57352,97,1.0
1,60083,97,1.0
1,62814,97,1.0
1,65535,97,1.0
1,1,129,0.75
1,2732,129,1.0
1,5463,129,1.0
1,8194,129,1.0
1,10925,129,1.0
1,13656,129,1.0
1,16387,129,0.88
1,19118,129,0.75
1,21849,129,0.75
1,24580,129,0.75
1,27311,129,0.75
1,30042,129,1.0
1,32773,129,1.0
1,35504,129,1.0
1,38235,129,1.0
1,40966,129,1.0
1,43697,129,1.0
1,46428,129,1.0
1,49159,129,1.0
1,51890,129,1.0
1,54621,129,1.0
1,57352,129,1.0
1,60083,129,1.0
1,62814,129,0.88
1,65535,129,0.75
1,1,161,0.75
1,2732,161,0.75
1,5463,161,1.0
1,8194,161,1.0
1,10925,161,1.0
1,13656,161,1.0
1,16387,161,0.88
1,19118,161,0.75
1,21849,161,0.75
1,24580,161,0.75
1,27311,161,0.75
1,30042,161,0.75
1,32773,161,1.0
1,35504,161,1.0
1,38235,161,1.0
1,40966,161,1.0
1,43697,161,0.88
1,46428,161,1.0
1,49159,161,1.0
1,51890,161,1.0
1,54621,161,1.0
1,57352,161,0.88
1,60083,161,0.75
1,62814,161,0.75
1,65535,161,0.75
1,1,193,0.75
1,2732,193,0.75
1,5463,193,0.88
1,8194,193,1.0
1,10925,193,1.0
1,13656,193,1.0
1,16387,193,0.75
1,19118,193,0.75
1,21849,193,0.75
1,24580,193,0.75
1,27311,193,0.75
1,30042,193,0.75
1,32773,193,0.88
1,35504,193,1.0
1,38235,193,1.0
1,40966,193,0.75
1,43697,193,0.75
1,46428,193,0.88
1,49159,193,1.0
1,51890,193,1.0
1,54621,193,1.0
1,57352,193,0.75
1,60083,193,0.75
1,62814,193,0.75
1,65535,193,0.75
1,1,225,0.75
1,2732,225,0.75
1,5463,225,0.88
1,8194,225,1.0
1,10925,225,1.0
1,13656,225,0.88
1,16387,225,0.75
1,19118,225,0.75
1,21849,225,0.75
1,24580,225,0.75
1,27311,225,0.75
1,30042,225,0.75
1,32773,225,0.75
1,35504,225,1.0
1,38235,225,1.0
1,40966,225,0.88
1,43697,225,0.75
1,46428,225,0.75
1,49159,225,1.0
1,51890,225,1.0
1,54621,225,1.0
1,57352,225,0.75
1,60083,225,0.75
1,62814,225,0.75
1,65535,225,0.75
1,1,255,0.75
1,2732,255,0.75
1,5463,255,0.75
1,8194,255,0.88
1,10925,255,1.0
1,13656,255,1.0
1,16387,255,0.75
1,19118,255,0.75
1,21849,255,0.75
1,24580,255,0.75
1,27311,255,0.75
1,30042,255,0.75
1,32773,255,0.88
1,35504,255,1.0
1,38235,255,0.88
1,40966,255,0.75
1,43697,255,0.75
1,46428,255,0.75
1,49159,255,1.0
1,51890,255,1.0
1,54621,255,1.0
1,57352,255,0.75
1,60083,255,0.75
1,62814,255,0.75
1,65535,255,0.75
33,1,1,1.25
33,2732,1,1.25
33,5463,1,1.25
33,8194,1,1.25
33,10925,1,1.25
33,13656,1,1.25
33,16387,1,1.25
33,19118,1,1.25
33,21849,1,1.25
33,24580,1,1.25
33,27311,1,1.25
33,30042,1,1.25
33,32773,1,1.25
33,35504,1,1.25
33,38235,1,1.25
33,40966,1,1.25
33,43697,1,1.25
33,46428,1,1.25
33,49159,1,1.25
33,51890,1,1.25
33,54621,1,1.25
33,57352,1,1.25
33,60083,1,1.25
33,62814,1,1.25
33,65535,1,1.25
33,1,33,1.25
33,2732,33,1.25
33,5463,33,1.25
33,8194,33,1.25
33,10925,33,1.25
33,13656,33,1.25
33,16387,33,1.25
33,19118,33,1.0
33,21849,33,1.0
33,24580,33,1.0
33,27311,33,1.12
33,30042,33,1.25
33,32773,33,1.25
33,35504,33,1.25
33,38235,33,1.25
33,40966,33,1.25
33,43697,33,1.25
33,46428,33,1.25
33,49159,33,1.25
33,51890,33,1.25
33,54621,33,1.25
33,57352,33,1.25
33,60083,33,1.25
33,62814,33,1.25
33,65535,33,1.25
33,1,65,1.0
33,2732,65,1.0
33,5463,65,1.25
33,8194,65,1.25
33,10925,65,1.25
33,13656,65,1.0
33,16387,65,1.0
33,19118,65,1.0
33,21849,65,1.0
33,24580,65,1.0
33,27311,65,1.0
33,30042,65,1.0
33,32773,65,1.0
33,35504,65,1.0
33,38235,65,1.25
33,40966,65,1.25
33,43697,65,1.25
33,46428,65,1.25
33,49159,65,1.25
33,51890,65,1.25
33,54621,65,1.0
33,57352,65,1.0
33,60083,65,1.0
33,62814,65,1.0
33,65535,65,1.0
33,1,97,1.0
33,2732,97,1.0
33,5463,97,1.0
33,8194,97,1.12
33,10925,97,1.0
33,13656,97,1.0
33,16387,97,1.0
33,19118,97,1.0
33,21849,97,1.0
33,24580,97,1.0
33,27311,97,1.0
33,30042,97,1.0
33,32773,97,1.0
33,35504,97,1.0
33,38235,97,1.25
33,40966,97,1.25
33,43697,97,1.25
33,46428,97,1.25
33,49159,97,1.25
33,51890,97,1.0
33,54621,97,1.0
33,57352,97,1.0
33,60083,97,1.0
33,62814,97,1.0
33,65535,97,1.0
33,1,129,1.0
33,2732,129,1.0
33,5463,129,1.0
33,8194,129,1.0
33,10925,129,1.0
33,13656,129,1.0
33,16387,129,1.0
33,19118,129,1.0
33,21849,129,1.0
33,24580,129,1.0
33,27311,129,1.0
33,30042,129,1.0
33,32773,129,1.0
33,35504,129,1.0
33,38235,129,1.25
33,40966,129,1.12
33,43697,129,1.0
33,46428,129,1.0
33,49159,129,1.25
33,51890,129,1.0
33,54621,129,1.0
33,57352,129,1.0
33,60083,129,1.0
33,62814,129,1.0
33,65535,129,1.0
33,1,161,1.0
33,2732,161,1.0
33,5463,161,1.0
33,8194,161,1.0
33,10925,161,1.0
33,13656,161,1.0
33,16387,161,1.0
33,19118,161,1.0
33,21849,161,1.0
33,24580,161,1.0
33,27311,161,1.0
33,30042,161,1.0
33,32773,161,1.0
33,35504,161,1.0
33,38235,161,1.0
33,40966,161,1.0
33,43697,161,1.0
33,46428,161,1.0
33,49159,161,1.0
