bri,hue,sat,watt
1,1,1,3.2
1,2732,1,3.2
1,10925,1,0.6
1,13656,1,0.55
1,19118,1,0.45
1,21849,1,0.6
1,24580,1,0.5
1,27311,1,0.5
1,30042,1,0.5
1,32773,1,0.55
1,35504,1,0.6
1,38235,1,0.55
1,40966,1,0.55
1,43697,1,0.55
1,46428,1,0.6
1,49159,1,0.55
1,51890,1,0.6
1,54621,1,0.6
1,62814,1,0.55
1,1,33,0.55
1,2732,33,0.5
1,5463,33,0.5
1,8194,33,0.5
1,10925,33,0.55
1,13656,33,0.5
1,16387,33,0.5
1,19118,33,0.5
1,21849,33,0.55
1,24580,33,0.55
1,27311,33,0.55
1,30042,33,0.6
1,32773,33,0.6
1,35504,33,0.5
1,38235,33,0.55
1,40966,33,0.5
1,43697,33,0.5
1,46428,33,0.6
1,51890,33,0.5
1,54621,33,0.55
1,57352,33,0.5
1,60083,33,0.5
1,62814,33,0.55
1,65535,33,0.5
1,1,65,0.5
1,2732,65,0.55
1,5463,65,0.55
1,8194,65,0.55
1,10925,65,0.5
1,13656,65,0.5
1,16387,65,0.5
1,21849,65,0.5
1,24580,65,0.5
1,30042,65,0.5
1,32773,65,0.6
1,35504,65,0.45
1,38235,65,0.6
1,43697,65,0.55
1,46428,65,0.55
1,49159,65,0.6
1,51890,65,0.5
1,54621,65,0.55
1,57352,65,0.45
1,60083,65,0.5
1,62814,65,0.55
1,65535,65,0.5
1,1,97,0.55
1,10925,97,0.5
1,13656,97,0.5
1,16387,97,0.5
1,21849,97,0.5
1,24580,97,0.5
1,27311,97,0.5
1,30042,97,0.5
1,32773,97,0.55
1,35504,97,0.5
1,38235,97,0.5
1,40966,97,0.5
1,46428,97,0.5
1,49159,97,0.5
1,51890,97,0.55
1,54621,97,0.5
1,57352,97,0.5
1,60083,97,0.5
1,62814,97,0.55
1,65535,97,0.5
1,1,129,0.45
1,5463,129,0.5
1,8194,129,0.5
1,10925,129,0.5
1,13656,129,0.55
1,16387,129,0.5
1,19118,129,0.5
1,21849,129,0.5
1,24580,129,0.55
1,27311,129,0.5
1,30042,129,0.55
1,32773,129,0.55
1,35504,129,0.55
1,40966,129,0.5
1,43697,129,0.55
1,46428,129,0.55
1,49159,129,0.55
1,51890,129,0.5
1,54621,129,0.5
1,57352,129,0.5
1,60083,129,0.5
1,62814,129,0.5
1,65535,129,0.45
1,1,161,0.45
1,2732,161,0.5
1,5463,161,0.5
1,8194,161,0.6
1,10925,161,0.6
1,13656,161,0.5
1,16387,161,0.5
1,19118,161,0.55
1,21849,161,0.5
1,24580,161,0.5
1,27311,161,0.5
1,30042,161,0.55
1,32773,161,0.5
1,38235,161,0.5
1,40966,161,0.55
1,43697,161,0.55
1,46428,161,0.45
1,49159,161,0.55
1,51890,161,0.55
1,54621,161,0.5
1,57352,161,0.55
1,60083,161,0.5
1,62814,161,0.5
1,65535,161,0.55
1,1,193,0.5
1,2732,193,0.5
1,5463,193,0.55
1,8194,193,0.6
1,10925,193,0.55
1,13656,193,0.5
1,19118,193,0.5
1,24580,193,0.5
1,27311,193,0.5
1,30042,193,0.5
1,32773,193,0.5
1,35504,193,0.5
1,38235,193,0.5
1,43697,193,0.5
1,46428,193,0.6
1,49159,193,0.6
1,51890,193,0.5
1,54621,193,0.5
1,60083,193,0.5
1,1,225,0.55
1,2732,225,0.55
1,8194,225,0.55
1,16387,225,0.55
1,19118,225,0.55
1,21849,225,0.5
1,24580,225,0.5
1,27311,225,0.55
1,30042,225,0.5
1,32773,225,0.55
1,35504,225,0.45
1,38235,225,0.55
1,43697,225,0.5
1,46428,225,0.5
1,49159,225,0.5
1,51890,225,0.55
1,54621,225,0.5
1,57352,225,0.55
1,60083,225,0.5
1,62814,225,0.55
1,65535,225,0.5
1,1,255,0.5
1,2732,255,0.55
1,5463,255,0.6
1,8194,255,0.5
1,10925,255,0.6
1,16387,255,0.55
1,19118,255,0.5
1,21849,255,0.5
1,24580,255,0.5
1,30042,255,0.5
1,32773,255,0.6
1,35504,255,0.5
1,38235,255,0.5
1,43697,255,0.55
1,46428,255,0.5
1,49159,255,0.45
1,51890,255,0.55
1,54621,255,0.45
1,60083,255,0.45
1,62814,255,0.55
1,65535,255,0.45
33,1,1,1.2
33,2732,1,1.2
33,5463,1,1.25
33,8194,1,1.2
33,10925,1,1.15
33,13656,1,1.15
33,16387,1,1.2
33,19118,1,1.2
33,21849,1,1.2
33,24580,1,1.15
33,27311,1,1.2
33,30042,1,1.2
33,32773,1,1.3
33,35504,1,1.25
33,38235,1,1.25
33,40966,1,1.25
33,43697,1,1.15
33,46428,1,1.25
33,49159,1,1.15
33,51890,1,1.2
33,54621,1,1.2
33,57352,1,1.2
33,60083,1,1.15
33,62814,1,1.2
33,65535,1,1.2
33,1,33,1.15
33,2732,33,1.2
33,5463,33,1.2
33,8194,33,1.2
33,10925,33,1.2
33,13656,33,1.2
33,16387,33,1.2
33,19118,33,1.2
33,21849,33,1.1
33,24580,33,1.05
33,27311,33,1.15
33,30042,33,1.2
33,32773,33,1.2
33,35504,33,1.15
33,38235,33,1.2
33,40966,33,1.25
33,43697,33,1.2
33,46428,33,1.2
33,49159,33,1.25
33,51890,33,1.2
33,54621,33,1.15
33,57352,33,1.05
33,60083,33,1.15
33,62814,33,1.05
33,65535,33,1.15
33,1,65,0.8
33,2732,65,1.15
33,5463,65,1.25
33,8194,65,1.15
33,10925,65,1.15
33,13656,65,1.05
33,16387,65,0.9
33,19118,65,0.9
33,21849,65,0.85
33,24580,65,0.85
33,27311,65,0.9
