bri,hue,sat,watt
1,1,1,1.36
1,2732,1,1.39
1,5463,1,1.38
1,8194,1,1.34
1,10925,1,1.4
1,13656,1,1.43
1,16387,1,1.38
1,19118,1,1.42
1,21849,1,1.41
1,24580,1,1.39
1,27311,1,1.38
1,30042,1,1.38
1,32773,1,1.42
1,35504,1,1.35
1,38235,1,1.37
1,40966,1,1.36
1,43697,1,1.42
1,46428,1,1.39
1,49159,1,1.45
1,51890,1,1.37
1,54621,1,1.42
1,57352,1,1.41
1,60083,1,1.43
1,62814,1,1.38
1,65535,1,1.39
1,1,33,1.44
1,2732,33,1.4
1,5463,33,1.37
1,8194,33,1.41
1,10925,33,1.42
1,13656,33,1.38
1,16387,33,1.36
1,19118,33,1.36
1,21849,33,1.35
1,24580,33,1.37
1,27311,33,1.37
1,30042,33,1.35
1,32773,33,1.38
1,35504,33,1.4
1,38235,33,1.42
1,40966,33,1.37
1,43697,33,1.42
1,46428,33,1.41
1,49159,33,1.42
1,51890,33,1.38
1,54621,33,1.42
1,57352,33,1.38
1,60083,33,1.41
1,62814,33,1.37
1,65535,33,1.44
1,1,65,1.38
1,2732,65,1.36
1,5463,65,1.41
1,8194,65,1.42
1,10925,65,1.42
1,13656,65,1.39
1,16387,65,1.36
1,19118,65,1.36
1,21849,65,1.37
1,24580,65,1.36
1,27311,65,1.38
1,30042,65,1.38
1,32773,65,1.38
1,35504,65,1.37
1,38235,65,1.37
1,40966,65,1.42
1,43697,65,1.36
1,46428,65,1.37
1,49159,65,1.35
1,51890,65,1.35
1,54621,65,1.38
1,57352,65,1.31
1,60083,65,1.39
1,62814,65,1.35
1,65535,65,1.37
1,1,97,1.35
1,2732,97,1.37
1,5463,97,1.39
1,8194,97,1.38
1,10925,97,1.42
1,13656,97,1.35
1,16387,97,1.37
1,19118,97,1.35
1,21849,97,1.36
1,24580,97,1.34
1,27311,97,1.35
1,30042,97,1.34
1,32773,97,1.36
1,35504,97,1.39
1,38235,97,1.42
1,40966,97,1.4
1,43697,97,1.38
1,46428,97,1.4
1,49159,97,1.38
1,51890,97,1.4
1,54621,97,1.37
1,57352,97,1.39
1,60083,97,1.35
1,62814,97,1.39
1,65535,97,1.33
1,1,129,1.36
1,2732,129,1.35
1,5463,129,1.35
1,8194,129,1.35
1,10925,129,1.37
1,13656,129,1.4
1,16387,129,1.4
1,19118,129,1.31
1,21849,129,1.38
1,24580,129,1.33
1,27311,129,1.38
1,30042,129,1.38
1,32773,129,1.36
1,35504,129,1.4
1,38235,129,1.35
1,40966,129,1.35
1,43697,129,1.36
1,46428,129,1.35
1,49159,129,1.37
1,51890,129,1.36
1,54621,129,1.37
1,57352,129,1.35
1,60083,129,1.38
1,62814,129,1.33
1,65535,129,1.38
1,1,161,1.35
1,2732,161,1.34
1,5463,161,1.35
1,8194,161,1.37
1,10925,161,1.4
1,13656,161,1.37
1,16387,161,1.34
1,19118,161,1.35
1,21849,161,1.35
1,24580,161,1.38
1,27311,161,1.35
1,30042,161,1.34
1,32773,161,1.38
1,35504,161,1.35
1,38235,161,1.36
1,40966,161,1.42
1,43697,161,1.35
1,46428,161,1.42
1,49159,161,1.42
1,51890,161,1.37
1,54621,161,1.35
1,57352,161,1.38
1,60083,161,1.37
1,62814,161,1.38
1,65535,161,1.31
1,1,193,1.33
1,2732,193,1.35
1,5463,193,1.36
1,8194,193,1.35
1,10925,193,1.39
1,13656,193,1.39
1,16387,193,1.4
1,19118,193,1.4
1,21849,193,1.36
1,24580,193,1.4
1,27311,193,1.4
1,30042,193,1.36
1,32773,193,1.37
1,35504,193,1.44
1,38235,193,1.38
1,40966,193,1.4
1,43697,193,1.42
1,46428,193,1.39
1,49159,193,1.35
1,51890,193,1.4
1,54621,193,1.4
1,57352,193,1.37
1,60083,193,1.35
1,62814,193,1.4
1,65535,193,1.37
1,1,225,1.37
1,2732,225,1.35
1,5463,225,1.39
1,8194,225,1.41
1,10925,225,1.39
1,13656,225,1.35
1,16387,225,1.35
1,19118,225,1.43
1,21849,225,1.38
1,24580,225,1.33
1,27311,225,1.37
1,30042,225,1.36
1,32773,225,1.35
1,35504,225,1.38
1,38235,225,1.35
1,40966,225,1.33
1,43697,225,1.38
1,46428,225,1.35
1,49159,225,1.35
1,51890,225,1.4
1,54621,225,1.35
1,57352,225,1.37
1,60083,225,1.35
1,62814,225,1.39
1,65535,225,1.38
1,1,255,1.35
1,2732,255,1.4
1,5463,255,1.34
1,8194,255,1.4
1,10925,255,1.38
1,13656,255,1.38
1,16387,255,1.4
1,19118,255,1.38
1,21849,255,1.4
1,24580,255,1.4
1,27311,255,1.36
1,30042,255,1.38
1,32773,255,1.36
1,35504,255,1.4
1,38235,255,1.38
1,40966,255,1.35
