bri,hue,sat,watt
1,0,0,1.07
1,0,26,1.07
1,0,51,1.07
1,0,77,1.07
1,0,102,1.07
1,0,128,1.07
1,0,153,1.07
1,0,179,1.07
1,0,204,1.07
1,0,230,1.07
1,0,255,1.07
1,1820,0,1.07
1,1820,26,1.07
1,1820,51,1.07
1,1820,77,1.07
1,1820,102,1.14
1,1820,128,1.14
1,1820,153,1.14
1,1820,179,1.14
1,1820,204,1.14
1,1820,230,1.07
1,1820,255,1.07
1,3641,0,1.07
1,3641,26,1.07
1,3641,51,1.07
1,3641,77,1.07
1,3641,102,1.07
1,3641,128,1.07
1,3641,153,1.07
1,3641,179,1.07
1,3641,204,1.07
1,3641,230,1.07
1,3641,255,1.07
1,5461,0,1.07
1,5461,26,1.07
1,5461,51,1.07
1,5461,77,1.07
1,5461,102,1.07
1,5461,128,1.07
1,5461,153,1.07
1,5461,179,1.07
1,5461,204,1.07
1,5461,230,1.07
1,5461,255,1.07
1,7282,0,1.07
1,7282,26,1.07
1,7282,51,1.07
1,7282,77,1.07
1,7282,102,1.07
1,7282,128,1.07
1,7282,153,1.07
1,7282,179,1.07
1,7282,204,1.07
1,7282,230,1.07
1,7282,255,1.07
1,9102,0,1.07
1,9102,26,1.07
1,9102,51,1.07
1,9102,77,1.07
1,9102,102,1.07
1,9102,128,1.07
1,9102,153,1.07
1,9102,179,1.07
1,9102,204,1.07
1,9102,230,1.07
1,9102,255,1.07
1,10922,0,1.07
1,10922,26,1.07
1,10922,51,1.07
1,10922,77,1.07
1,10922,102,1.07
1,10922,128,1.07
1,10922,153,1.07
1,10922,179,1.07
1,10922,204,1.07
1,10922,230,1.07
1,10922,255,1.07
1,12743,0,1.07
1,12743,26,1.07
1,12743,51,1.07
1,12743,77,1.07
1,12743,102,1.07
1,12743,128,1.07
1,12743,153,1.07
1,12743,179,1.07
1,12743,204,1.07
1,12743,230,1.07
1,12743,255,1.07
1,14563,0,1.07
1,14563,26,1.07
1,14563,51,1.07
1,14563,77,1.07
1,14563,102,1.14
1,14563,128,1.14
1,14563,153,1.14
1,14563,179,1.14
1,14563,204,1.07
1,14563,230,1.07
1,14563,255,1.07
1,16384,0,1.07
1,16384,26,1.07
1,16384,51,1.14
1,16384,77,1.14
1,16384,102,1.14
1,16384,128,1.14
1,16384,153,1.14
1,16384,179,1.07
1,16384,204,1.07
1,16384,230,1.07
1,16384,255,1.07
1,18204,0,1.07
1,18204,26,1.07
1,18204,51,1.07
1,18204,77,1.07
1,18204,102,1.07
1,18204,128,1.07
1,18204,153,1.07
1,18204,179,1.07
1,18204,204,1.07
1,18204,230,1.07
1,18204,255,1.07
