bri,hue,sat,watt
1,1,1,1.33
1,2732,1,1.35
1,5463,1,1.27
1,8194,1,1.33
1,10925,1,1.2
1,13656,1,1.33
1,16387,1,1.1
1,19118,1,1.33
1,21849,1,1.33
1,24580,1,1.27
1,27311,1,1.35
1,30042,1,1.08
1,32773,1,1.35
1,35504,1,1.12
1,38235,1,1.33
1,40966,1,1.03
1,43697,1,1.33
1,46428,1,1.03
1,49159,1,1.3
1,51890,1,1.33
1,54621,1,1.28
1,57352,1,1.1
1,60083,1,1.28
1,62814,1,1.28
1,65535,1,1.3
1,1,33,1.25
1,2732,33,1.25
1,5463,33,1.28
1,8194,33,1.33
1,10925,33,1.08
1,13656,33,1.28
1,16387,33,1.28
1,19118,33,1.3
1,21849,33,1.08
1,24580,33,1.33
1,27311,33,1.15
1,30042,33,1.18
1,32773,33,1.33
1,35504,33,1.18
1,38235,33,1.33
1,40966,33,1.08
1,43697,33,1.35
1,46428,33,1.05
1,49159,33,1.2
1,51890,33,1.33
1,54621,33,1.33
1,57352,33,1.12
1,60083,33,1.18
1,62814,33,1.33
1,65535,33,1.08
1,1,65,1.33
1,2732,65,1.15
1,5463,65,1.33
1,8194,65,1.08
1,10925,65,1.2
1,13656,65,1.3
1,16387,65,1.38
1,19118,65,1.27
1,21849,65,1.3
1,24580,65,1.38
1,27311,65,1.4
1,30042,65,1.25
1,32773,65,1.1
1,35504,65,1.33
1,38235,65,1.08
1,40966,65,1.27
1,43697,65,1.33
1,46428,65,1.1
1,49159,65,1.35
1,51890,65,1.25
1,54621,65,1.38
1,57352,65,1.2
1,60083,65,1.35
1,62814,65,1.18
1,65535,65,1.27
1,1,97,1.35
1,2732,97,1.15
1,5463,97,1.33
1,8194,97,1.12
1,10925,97,1.33
1,13656,97,1.33
1,16387,97,1.38
1,19118,97,1.38
1,21849,97,1.27
1,24580,97,1.1
1,27311,97,1.4
1,30042,97,1.08
1,32773,97,1.4
1,35504,97,1.38
1,38235,97,1.12
1,40966,97,1.4
1,43697,97,1.12
1,46428,97,1.38
1,49159,97,1.1
1,51890,97,1.18
1,54621,97,1.27
1,57352,97,1.33
1,60083,97,1.35
1,62814,97,1.2
1,65535,97,1.35
1,1,129,1.35
1,2732,129,1.2
1,5463,129,1.38
1,8194,129,1.08
1,10925,129,1.38
1,13656,129,1.38
1,16387,129,1.38
1,19118,129,1.1
1,21849,129,1.35
1,24580,129,1.4
1,27311,129,1.4
1,30042,129,1.25
1,32773,129,1.2
1,35504,129,1.43
1,38235,129,1.4
1,40966,129,1.1
1,43697,129,1.4
1,46428,129,1.35
1,49159,129,1.35
1,51890,129,1.18
1,54621,129,1.33
1,57352,129,1.4
1,60083,129,1.38
1,62814,129,1.2
1,65535,129,1.45
1,1,161,1.27
1,2732,161,1.35
1,5463,161,1.48
1,8194,161,1.45
1,10925,161,1.18
1,13656,161,1.38
1,16387,161,1.5
1,19118,161,1.4
1,21849,161,1.33
1,24580,161,1.53
1,27311,161,1.35
1,30042,161,1.58
1,32773,161,1.53
1,35504,161,1.55
1,38235,161,1.43
1,40966,161,1.55
1,43697,161,1.23
1,46428,161,1.35
1,49159,161,1.53
1,51890,161,1.38
1,54621,161,1.55
1,57352,161,1.53
1,60083,161,1.48
1,62814,161,1.53
1,65535,161,1.4
1,1,193,1.33
1,2732,193,1.25
1,5463,193,1.55
1,8194,193,1.58
1,10925,193,1.28
1,13656,193,1.58
1,16387,193,1.6
1,19118,193,1.45
1,21849,193,1.6
1,24580,193,1.4
1,27311,193,1.6
1,30042,193,1.35
1,32773,193,1.48
1,35504,193,1.65
1,38235,193,1.65
1,40966,193,1.5
1,43697,193,1.45
1,46428,193,1.62
1,49159,193,1.58
1,51890,193,1.5
1,54621,193,1.28
1,57352,193,1.33
1,60083,193,1.53
1,62814,193,1.53
1,65535,193,1.55
1,1,225,1.38
1,2732,225,1.5
1,5463,225,1.43
1,8194,225,1.33
1,10925,225,1.5
1,13656,225,1.53
1,16387,225,1.48
1,19118,225,1.55
1,21849,225,1.58
1,24580,225,1.5
1,27311,225,1.55
1,30042,225,1.48
1,32773,225,1.55
1,35504,225,1.55
1,38235,225,1.23
1,40966,225,1.53
1,43697,225,1.5
1,46428,225,1.45
1,49159,225,1.45
1,51890,225,1.3
1,54621,225,1.5
1,57352,225,1.18
1,60083,225,1.43
1,62814,225,1.43
1,65535,225,1.33
1,1,255,1.43
1,2732,255,1.53
1,5463,255,1.5
1,8194,255,1.38
1,10925,255,1.53
1,13656,255,1.3
1,16387,255,1.53
1,19118,255,1.25
1,21849,255,1.55
1,24580,255,1.3
1,27311,255,1.43
1,30042,255,1.58
1,32773,255,1.3
1,35504,255,1.28
1,38235,255,1.55
1,40966,255,1.53
1,43697,255,1.53
1,46428,255,1.53
1,49159,255,1.53
1,51890,255,1.5
1,54621,255,1.53
1,57352,255,1.35
1,60083,255,1.5
1,62814,255,1.35
1,65535,255,1.53
33,1,1,1.45
33,2732,1,1.43
33,5463,1,1.68
33,8194,1,1.4
33,10925,1,1.68
33,13656,1,1.5
33,16387,1,1.68
33,19118,1,1.45
33,21849,1,1.55
33,24580,1,1.62
33,27311,1,1.62
33,30042,1,1.38
33,32773,1,1.68
33,35504,1,1.43
33,38235,1,1.68
33,40966,1,1.65
33,43697,1,1.35
33,46428,1,1.68
33,49159,1,1.62
33,51890,1,1.6
33,54621,1,1.65
33,57352,1,1.65
33,60083,1,1.43
33,62814,1,1.35
33,65535,1,1.65
33,1,33,1.65
33,2732,33,1.48
33,5463,33,1.68
33,8194,33,1.68
33,10925,33,1.6
33,13656,33,1.5
33,16387,33,1.38
33,19118,33,1.4
33,21849,33,1.6
33,24580,33,1.33
33,27311,33,1.62
33,30042,33,1.6
33,32773,33,1.5
33,35504,33,1.35
33,38235,33,1.58
33,40966,33,1.33
33,43697,33,1.6
33,46428,33,1.4
33,49159,33,1.45
33,51890,33,1.58
33,54621,33,1.58
33,57352,33,1.28
33,60083,33,1.55
33,62814,33,1.53
33,65535,33,1.38
33,1,65,1.53
33,2732,65,1.23
33,5463,65,1.53
33,8194,65,1.3
33,10925,65,1.55
33,13656,65,1.53
33,16387,65,1.58
33,19118,65,1.3
33,21849,65,1.48
33,24580,65,1.58
33,27311,65,1.28
33,30042,65,1.58
33,32773,65,1.6
33,35504,65,1.6
33,38235,65,1.35
33,40966,65,1.55
33,43697,65,1.6
33,46428,65,1.6
33,49159,65,1.45
33,51890,65,1.53
33,54621,65,1.25
33,57352,65,1.45
33,60083,65,1.53
33,62814,65,1.5
33,65535,65,1.43
33,1,97,1.5
33,2732,97,1.2
33,5463,97,1.5
33,8194,97,1.48
33,10925,97,1.53
33,13656,97,1.53
33,16387,97,1.33
33,19118,97,1.3
33,21849,97,1.53
33,24580,97,1.25
33,27311,97,1.4
33,30042,97,1.55
33,32773,97,1.58
33,35504,97,1.3
33,38235,97,1.5
33,40966,97,1.53
33,43697,97,1.3
33,46428,97,1.53
33,49159,97,1.35
33,51890,97,1.48
33,54621,97,1.33
33,57352,97,1.48
33,60083,97,1.2
33,62814,97,1.48
33,65535,97,1.38
33,1,129,1.48
33,2732,129,1.35
33,5463,129,1.5
33,8194,129,1.35
33,10925,129,1.53
33,13656,129,1.28
33,16387,129,1.55
33,19118,129,1.27
33,21849,129,1.53
33,24580,129,1.45
33,27311,129,1.58
33,30042,129,1.38
33,32773,129,1.58
33,35504,129,1.3
33,38235,129,1.48
33,40966,129,1.43
33,43697,129,1.18
33,46428,129,1.48
33,49159,129,1.27
33,51890,129,1.25
33,54621,129,1.4
